"Indicator Code","Indicator Name","Aggregation Method","Dataset","General Comments","License Type","License URL","Long Definition","Periodicity","Reference Period","Short Definition","Source","Topic","Unit of Measure","Related Indicators","Development Relevance","Limitations and Exceptions","Notes from Original Source","Statistical Concept and Methodology","Other Web Links","Base Period","Other Notes","Previous Indicator Name","Related Source Links"
"SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.

This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","","","Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source. Total population is based on the de facto population including all residents regardless of legal status or citizenship. The values shown are midyear estimates. For more information see metadata for total population (SP.POP.TOTL).","","","","",""
"SP.POP.7074.FE","Population ages 70-74, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 70 to 74.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.7074.MA","Population ages 70-74, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 70 to 74.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.7579.FE","Population ages 75-79, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 75 to 79.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.7579.MA","Population ages 75-79, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 75 to 79.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.80UP.FE","Population ages 80 and above, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population between the ages 80 and above.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.80UP.MA","Population ages 80 and above, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population between the ages 80 and above.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG00.FE.IN","Age population, age 00, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG00.MA.IN","Age population, age 00, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG01.FE.IN","Age population, age 01, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG01.MA.IN","Age population, age 01, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG02.FE.IN","Age population, age 02, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG02.MA.IN","Age population, age 02, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG03.FE.IN","Age population, age 03, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG03.MA.IN","Age population, age 03, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG04.FE.IN","Age population, age 04, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG04.MA.IN","Age population, age 04, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG05.FE.IN","Age population, age 05, female","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, female refers to female population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.AG05.MA.IN","Age population, age 05, male","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","Annual","","Age population, male refers to male population at the specified age level.","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.BRTH.MF","Sex ratio at birth (male births per female births)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Sex ratio at birth refers to male births per female births.","Annual","","","United Nations Population Division. World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.DPND","Age dependency ratio (% of working-age population)","Weighted average","","Relevance to gender indicator: this indicator implies the dependency burden that the working-age population bears in relation to children and the elderly. Many times single or widowed women who are the sole caregiver of a household have a high dependency ratio.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","Annual","","","World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Dynamics","","","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.","","","Dependency ratios capture variations in the proportions of children, elderly people, and working-age people in the population that imply the dependency burden that the working-age population bears in relation to children and the elderly. But dependency ratios show only the age composition of a population, not economic dependency. Some children and elderly people are part of the labor force, and many working-age people are not.

Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.","","","","",""
"SP.POP.TOTL","Population, total","Sum","","Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","Annual","","","(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics; (4) United Nations Statistics Division. Population and Vital Statistics Reprot (various years).","Health: Population: Structure","","","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 

The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data.

Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.","","Population estimates are usually based on national population censuses, and estimates of fertility, mortality and migration.

Errors and undercounting in census occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.

The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.

The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.

International migration is the only other factor besides birth and death rates that directly determines a country's population change. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.

Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.","","","","",""
"SP.POP.TOTL.FE.IN","Population, female","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population is based on the de facto definition of population, which counts all female residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.POP.TOTL.FE.ZS","Population, female (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","Females comprise almost one-half of the world population.  Female population relative to male population is a primary demographic indicator, reflecting historical events such as wars and the socio-demographic and ethno-cultural characteristics of the population.","","","Population structure by age and sex in the World Bank's estimates is based on the population structure by age and sex in United Nations Population Division's World Population Prospects. For more information, see the original source.","","","","",""
"SP.POP.TOTL.MA.IN","Population, male","Sum","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male population is based on the de facto definition of population, which counts all male residents regardless of legal status or citizenship.","Annual","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2022 Revision.","Health: Population: Structure","","","","","","","","","","",""
"SP.REG.BRTH.FE.ZS","Completeness of birth registration, female (%)","","","This is a sex-disaggregated indicator for Sustainable Development Goal 16.9.1 [https://unstats.un.org/sdgs/metadata/].","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","Annual","","","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.","Health: Population: Dynamics","","","Society typically first acknowledges a child’s existence and identity through birth registration. The right to be recognized as a person before the law is a critical step in ensuring lifelong protection and is a prerequisite for exercising all other rights. A birth certificate, issued following birth registration, is an important identity document for children. Birth registration also serves a statistical purpose. Universal birth registration is an essential part of a system of vital statistics, which tracks the major milestones in a person’s life - from birth to marriage and death. Such data are essential for planning and implementing development policies and programs, particularly in health, education, housing, water and sanitation, employment, agriculture and industrial production. The proportion of children under 5 years of age whose births have been registered with a civil authority is the official indicator for SDG Target 16.9, which sets out to “By 2030, provide legal identity for all, including birth registration”.","Data on the prevalence of birth registration is collected mainly through censuses, civil registration systems (CRVS) and household surveys. Civil registration systems that are functioning effectively compile vital statistics that are used to compare the estimated total number of births in a country with the absolute number of registered births during a given period. However, the systematic recording of births in many countries remains a serious challenge. In the absence of reliable administrative data, household surveys have become a key source of data to monitor levels and trends in birth registration. In most low- and middle-income countries, such surveys represent the sole source of this information.

Substantial differences can exist between CRVS coverage and birth registration levels as captured by household surveys. The differences are primarily because data from CRVS typically refer to the percentage of all births that have been registered (often within a specific timeframe) whereas household surveys often represent the percentage of children under age five whose births are registered. The latter (the level of registration among children under 5) is specified in the SDG indicator (16.9).","","Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Birth registration estimates are primarily drawn from nationally representative household surveys such as the Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). Other data sources include other national surveys, censuses and vital statistics from civil registration systems, and estimated coverage of birth registration within national civil registration systems from the United Nations Statistics Division (UNSD).","","","","",""
"SP.REG.BRTH.MA.ZS","Completeness of birth registration, male (%)","","","This is a sex-disaggregated indicator for Sustainable Development Goal 16.9.1 [https://unstats.un.org/sdgs/metadata/].","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","Annual","","","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.","Health: Population: Dynamics","","","Society typically first acknowledges a child’s existence and identity through birth registration. The right to be recognized as a person before the law is a critical step in ensuring lifelong protection and is a prerequisite for exercising all other rights. A birth certificate, issued following birth registration, is an important identity document for children. Birth registration also serves a statistical purpose. Universal birth registration is an essential part of a system of vital statistics, which tracks the major milestones in a person’s life - from birth to marriage and death. Such data are essential for planning and implementing development policies and programs, particularly in health, education, housing, water and sanitation, employment, agriculture and industrial production. The proportion of children under 5 years of age whose births have been registered with a civil authority is the official indicator for SDG Target 16.9, which sets out to “By 2030, provide legal identity for all, including birth registration”.","Data on the prevalence of birth registration is collected mainly through censuses, civil registration systems (CRVS) and household surveys. Civil registration systems that are functioning effectively compile vital statistics that are used to compare the estimated total number of births in a country with the absolute number of registered births during a given period. However, the systematic recording of births in many countries remains a serious challenge. In the absence of reliable administrative data, household surveys have become a key source of data to monitor levels and trends in birth registration. In most low- and middle-income countries, such surveys represent the sole source of this information.

Substantial differences can exist between CRVS coverage and birth registration levels as captured by household surveys. The differences are primarily because data from CRVS typically refer to the percentage of all births that have been registered (often within a specific timeframe) whereas household surveys often represent the percentage of children under age five whose births are registered. The latter (the level of registration among children under 5) is specified in the SDG indicator (16.9).","","Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Birth registration estimates are primarily drawn from nationally representative household surveys such as the Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). Other data sources include other national surveys, censuses and vital statistics from civil registration systems, and estimated coverage of birth registration within national civil registration systems from the United Nations Statistics Division (UNSD).","","","","",""
"SP.REG.BRTH.ZS","Completeness of birth registration (%)","Weighted average","","This is the Sustainable Development Goal indicator 16.9.1 [https://unstats.un.org/sdgs/metadata/].","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.","Annual","","","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.","Health: Population: Dynamics","","","Society typically first acknowledges a child’s existence and identity through birth registration. The right to be recognized as a person before the law is a critical step in ensuring lifelong protection and is a prerequisite for exercising all other rights. A birth certificate, issued following birth registration, is an important identity document for children. Birth registration also serves a statistical purpose. Universal birth registration is an essential part of a system of vital statistics, which tracks the major milestones in a person’s life - from birth to marriage and death. Such data are essential for planning and implementing development policies and programs, particularly in health, education, housing, water and sanitation, employment, agriculture and industrial production. The proportion of children under 5 years of age whose births have been registered with a civil authority is the official indicator for SDG Target 16.9, which sets out to “By 2030, provide legal identity for all, including birth registration”.","Data on the prevalence of birth registration is collected mainly through censuses, civil registration systems (CRVS) and household surveys. Civil registration systems that are functioning effectively compile vital statistics that are used to compare the estimated total number of births in a country with the absolute number of registered births during a given period. However, the systematic recording of births in many countries remains a serious challenge. In the absence of reliable administrative data, household surveys have become a key source of data to monitor levels and trends in birth registration. In most low- and middle-income countries, such surveys represent the sole source of this information.

Substantial differences can exist between CRVS coverage and birth registration levels as captured by household surveys. The differences are primarily because data from CRVS typically refer to the percentage of all births that have been registered (often within a specific timeframe) whereas household surveys often represent the percentage of children under age five whose births are registered. The latter (the level of registration among children under 5) is specified in the SDG indicator (16.9).","","Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Birth registration estimates are primarily drawn from nationally representative household surveys such as the Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). Other data sources include other national surveys, censuses and vital statistics from civil registration systems, and estimated coverage of birth registration within national civil registration systems from the United Nations Statistics Division (UNSD).","","","","",""
"SP.RUR.TOTL.FE.ZS","Rural population, female (% of total)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female rural population is the percentage of females who live in rural areas to total population.","Annual","","","The United Nations Population Division's World Urbanization Prospects.","Health: Population: Structure","","","","Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects","","Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.","","","","",""
"SP.RUR.TOTL.MA.ZS","Rural population, male (% of total)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male rural population is the percentage males who live in rural areas to total population.","Annual","","","The United Nations Population Division's World Urbanization Prospects.","Health: Population: Structure","","","","Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects","","Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.","","","","",""
"SP.RUR.TOTL.ZS","Rural population (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.","Annual","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Environment: Density & urbanization","","","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as ""urban"" or ""rural.""

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. ""Rural"" encompasses all population, housing, and territory not included within an urban area.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.","","Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","","","","",""
"SP.URB.TOTL.FE.ZS","Urban population, female (% of total)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female urban population is the percentage of females who live in urban areas to total population.","Annual","","","The United Nations Population Division's World Urbanization Prospects.","Health: Population: Structure","","","","Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects","","Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.","","","","",""
"SP.URB.TOTL.IN.ZS","Urban population (% of total population)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.","Annual","","","United Nations Population Division. World Urbanization Prospects: 2018 Revision.","Environment: Density & urbanization","","","Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers. 

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.","","Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.

Percentages urban are the numbers of persons residing in an area defined as ''urban'' per 100 total population. Particular caution should be used in interpreting the figures for percentage urban for different countries.

Countries differ in the way they classify population as ""urban"" or ""rural."" The population of a city or metropolitan area depends on the boundaries chosen.","","","","",""
"SP.URB.TOTL.MA.ZS","Urban population, male (% of total)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Male urban population is the percentage of males who live in urban areas to total population.","Annual","","","The United Nations Population Division's World Urbanization Prospects.","Population","","","","Because the urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex, the data for urban and rural population by sex is not comparable and consistent with the total population data presented in the World Development Indicators database which is based on the 2015 World Population Prospects","","Estimates of the United Nations urban and rural population by sex is based on the 2014 revision of World Urbanization Prospects (WUP) for urban and rural population and the 2012 revision of World Population Prospects (WPP) for total population by age and sex for all countries or territories in the world.","","","","",""
"fin10.1a","Reason for not using their inactive account: bank or financial institution is too far away (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1a.s","Reason for not using their inactive account: bank or financial institution is too far away (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1b","Reason for not using their inactive account: no need for an account (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they have no need for an account.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they have no need for an account.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1b.s","Reason for not using their inactive account: no need for an account (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1c","Reason for not using their inactive account: don't have enough money to use an account (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","Global Findex database","Assets","Percent","","","","","","","","","",""
